ISO week,Period,Edu week,Info
34,0,00,
35,0,0,
36,1,1,
37,1,2,
38,1,3,
39,1,4,
40,1,5,Toetsweek
41,1,6,
42,1,7,
43,1,V,Herfst vakantie
44,1,8,
45,1,9,
46,1,10,Toetsweek
47,2,1,LKT's
48,2,2,LKT's
49,2,3,
50,2,4,
51,2,5,Toetsweek
52,2,V,Kerst vakantie
53,2,V,Kerst vakantie
1,2,6,
2,2,7,
3,2,8,
4,2,9,
5,2,10,Toetsweek
6,2,V,Voorjaars vakantie
7,3,1,
8,3,2,
9,3,3,
10,3,4,
11,3,5,Toetsweek
12,3,6,
13,3,7,
14,3,8,
15,3,9,
16,3,10,Toetsweek
17,3,V,Mei vakantie
18,4,1,
19,4,2,
20,4,3,
21,4,4,
22,4,5,Toetsweek
23,4,6,LKT's
24,4,7,
25,4,8,
26,4,9,
27,4,10,
28,4,11,
29,4,12,
30,4,V,Zomer vakantie
31,4,V,Zomer vakantie
32,4,V,Zomer vakantie
33,4,V,Zomer vakantie
